id,title,genres,averageRating,numVotes,releaseYear
tt7137906,"When They See Us","Biography, Crime, Drama",8.8,141832,2019
tt14650074,Dhindora,"Comedy, Drama",8.8,123024,2021
tt0072500,"Fawlty Towers",Comedy,8.8,101646,1975
tt3530232,"Last Week Tonight with John Oliver","Comedy, News, Talk-Show",8.8,97194,2014
tt0112130,"Pride and Prejudice","Drama, Romance",8.8,94120,1995
tt0121220,"Dragon Ball Z","Action, Adventure, Animation",8.8,90331,1989
tt10233448,"Vinland Saga","Action, Adventure, Animation",8.8,82933,2019
tt0063929,"Monty Python's Flying Circus",Comedy,8.8,79732,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,77027,2011
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.8,74578,2014
tt0353049,"Chappelle's Show","Comedy, Music",8.8,73152,2003
tt0096548,"Blackadder Goes Forth","Comedy, War",8.8,57738,1989
tt15435876,"The Penguin","Crime, Drama",8.8,38403,2024
tt16026746,"X-Men '97","Action, Adventure, Animation",8.8,36703,2024
tt0081834,"Das Boot","Drama, War",8.8,33912,1985
tt1795096,"Behzat Ç: An Ankara Detective Story","Crime, Drama, Mystery",8.8,33467,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33030,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,19800,1976
tt15295490,"Campus Diaries","Comedy, Drama, Romance",8.8,17339,2022
tt22727518,"Another Love","Crime, Drama, Romance",8.8,15142,2023
tt9566030,"Pew News","Comedy, News",8.8,14793,2018
tt6108262,"Black Sun","Crime, Drama, Thriller",8.8,12607,2017
tt13661118,"Not Me","Action, Crime, Romance",8.8,12175,2021
tt0481256,"Fighting Spirit","Action, Animation, Comedy",8.8,11192,2000
tt4574334,"Stranger Things","Drama, Fantasy, Horror",8.7,1384590,2016
tt1190634,"The Boys","Action, Comedy, Crime",8.7,729533,2019
tt2085059,"Black Mirror","Crime, Drama, Mystery",8.7,657956,2011
tt3581920,"The Last of Us","Action, Adventure, Drama",8.7,572064,2023
tt0412142,House,"Drama, Mystery",8.7,533752,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,482376,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,463718,2017
tt0096697,"The Simpsons","Animation, Comedy",8.7,443455,1989
tt0121955,"South Park","Animation, Comedy",8.7,413055,1997
tt0367279,"Arrested Development",Comedy,8.7,328888,2003
tt0804503,"Mad Men",Drama,8.7,266575,2007
tt4236770,Yellowstone,"Drama, Western",8.7,236275,2018
tt1606375,"Downton Abbey","Drama, Romance",8.7,229230,2010
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,224041,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,219698,2021
tt5687612,Fleabag,"Comedy, Drama",8.7,213179,2016
tt4508902,"One Punch Man","Action, Animation, Comedy",8.7,192504,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,189600,2005
tt0988824,"Naruto: Shippuden","Action, Adventure, Animation",8.7,181063,2007
tt0407362,"Battlestar Galactica","Action, Adventure, Drama",8.7,178534,2004
tt5555260,"This Is Us","Comedy, Drama, Romance",8.7,162874,2016
tt0248654,"Six Feet Under","Comedy, Drama",8.7,153399,2001
tt5788792,"The Marvelous Mrs. Maisel","Comedy, Drama",8.7,146319,2017
tt0092455,"Star Trek: The Next Generation","Action, Adventure, Drama",8.7,139611,1987
tt1628033,"Top Gear","Adventure, Sport, Talk-Show",8.7,129337,2002
tt13991232,1883,"Drama, Western",8.7,123036,2021
tt0118421,Oz,"Crime, Drama, Thriller",8.7,108940,1997
tt9544034,"The Family Man","Action, Comedy, Drama",8.7,101203,2019
tt0286486,"The Shield","Crime, Drama, Thriller",8.7,90130,2002
tt5712554,"The Grand Tour","Comedy, Sport, Talk-Show",8.7,87481,2016
tt0994314,"Code Geass","Action, Animation, Drama",8.7,84455,2006
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,78742,2023
tt0758745,"Friday Night Lights","Drama, Sport",8.7,73847,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,72546,2012
tt0387764,"Peep Show",Comedy,8.7,68033,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,58433,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,49720,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,45342,2019
tt0111958,"Father Ted",Comedy,8.7,44643,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,39180,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38508,2009
tt7472896,"Mr Inbetween","Crime, Drama",8.7,34402,2018
tt0459159,"The Thick of It",Comedy,8.7,26755,2005
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,26672,1989
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,24703,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22366,2019
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.7,21476,2023
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,21318,2004
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,19671,2022
tt0080306,"Yes Minister",Comedy,8.7,16923,1980
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16336,2005
tt4063800,"The Bureau","Drama, Thriller",8.7,14962,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,14955,1993
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,14084,2020
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,13668,1986
tt11007006,Azize,Drama,8.7,13489,2019
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,13473,1972
tt7621364,"Black Pearl",Drama,8.7,12725,2017
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12618,2015
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,11666,2014
tt7094780,"Mr. Sunshine","Action, Drama, Romance",8.7,10983,2018
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,10553,2019
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,797952,2006
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,603931,2019
tt1856010,"House of Cards",Drama,8.6,537501,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,484189,2015
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,350671,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,330863,2008
tt1266020,"Parks and Recreation",Comedy,8.6,294742,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,263144,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,255657,1993
tt14452776,"The Bear","Comedy, Drama",8.6,249723,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,206468,2010
tt2788316,Shogun,"Adventure, Drama, History",8.6,181629,2024
tt1486217,Archer,"Action, Animation, Comedy",8.6,168479,2009
